id,name,category,file
basin-oval,Basin Oval,01_bathroom,symbols/01_bathroom/basin-oval.svg
basin-pedestal,Basin Pedestal,01_bathroom,symbols/01_bathroom/basin-pedestal.svg
basin-rectangular,Basin Rectangular,01_bathroom,symbols/01_bathroom/basin-rectangular.svg
basin-round,Basin Round,01_bathroom,symbols/01_bathroom/basin-round.svg
bidet,Bidet,01_bathroom,symbols/01_bathroom/bidet.svg
shower-quadrant,Shower Quadrant,01_bathroom,symbols/01_bathroom/shower-quadrant.svg
shower-rectangular,Shower Rectangular,01_bathroom,symbols/01_bathroom/shower-rectangular.svg
shower-square,Shower Square,01_bathroom,symbols/01_bathroom/shower-square.svg
shower-walk-in,Shower Walk In,01_bathroom,symbols/01_bathroom/shower-walk-in.svg
toilet-back-to-wall,Toilet Back To Wall,01_bathroom,symbols/01_bathroom/toilet-back-to-wall.svg
toilet-close-coupled,Toilet Close Coupled,01_bathroom,symbols/01_bathroom/toilet-close-coupled.svg
toilet-compact,Toilet Compact,01_bathroom,symbols/01_bathroom/toilet-compact.svg
toilet-open-seat,Toilet Open Seat,01_bathroom,symbols/01_bathroom/toilet-open-seat.svg
toilet-wall-hung,Toilet Wall Hung,01_bathroom,symbols/01_bathroom/toilet-wall-hung.svg
towel-rail,Towel Rail,01_bathroom,symbols/01_bathroom/towel-rail.svg
towel-warmer,Towel Warmer,01_bathroom,symbols/01_bathroom/towel-warmer.svg
tub-alcove,Tub Alcove,01_bathroom,symbols/01_bathroom/tub-alcove.svg
tub-compact,Tub Compact,01_bathroom,symbols/01_bathroom/tub-compact.svg
tub-corner,Tub Corner,01_bathroom,symbols/01_bathroom/tub-corner.svg
tub-freestanding-oval,Tub Freestanding Oval,01_bathroom,symbols/01_bathroom/tub-freestanding-oval.svg
tub-shower-combination,Tub Shower Combination,01_bathroom,symbols/01_bathroom/tub-shower-combination.svg
tub-whirlpool,Tub Whirlpool,01_bathroom,symbols/01_bathroom/tub-whirlpool.svg
urinal,Urinal,01_bathroom,symbols/01_bathroom/urinal.svg
vanity-600,Vanity 600,01_bathroom,symbols/01_bathroom/vanity-600.svg
vanity-900,Vanity 900,01_bathroom,symbols/01_bathroom/vanity-900.svg
vanity-double,Vanity Double,01_bathroom,symbols/01_bathroom/vanity-double.svg
base-cabinet-600,Base Cabinet 600,02_kitchen,symbols/02_kitchen/base-cabinet-600.svg
base-cabinet-900,Base Cabinet 900,02_kitchen,symbols/02_kitchen/base-cabinet-900.svg
cooktop-domino,Cooktop Domino,02_kitchen,symbols/02_kitchen/cooktop-domino.svg
cooktop-gas-five,Cooktop Gas Five,02_kitchen,symbols/02_kitchen/cooktop-gas-five.svg
cooktop-gas-four,Cooktop Gas Four,02_kitchen,symbols/02_kitchen/cooktop-gas-four.svg
cooktop-induction,Cooktop Induction,02_kitchen,symbols/02_kitchen/cooktop-induction.svg
counter-corner-left,Counter Corner Left,02_kitchen,symbols/02_kitchen/counter-corner-left.svg
counter-corner-right,Counter Corner Right,02_kitchen,symbols/02_kitchen/counter-corner-right.svg
dishwasher,Dishwasher,02_kitchen,symbols/02_kitchen/dishwasher.svg
fridge-french-door,Fridge French Door,02_kitchen,symbols/02_kitchen/fridge-french-door.svg
fridge-side-by-side,Fridge Side By Side,02_kitchen,symbols/02_kitchen/fridge-side-by-side.svg
fridge-single,Fridge Single,02_kitchen,symbols/02_kitchen/fridge-single.svg
kitchen-island-seating,Kitchen Island Seating,02_kitchen,symbols/02_kitchen/kitchen-island-seating.svg
kitchen-island-sink,Kitchen Island Sink,02_kitchen,symbols/02_kitchen/kitchen-island-sink.svg
kitchen-island,Kitchen Island,02_kitchen,symbols/02_kitchen/kitchen-island.svg
microwave,Microwave,02_kitchen,symbols/02_kitchen/microwave.svg
oven-built-in,Oven Built In,02_kitchen,symbols/02_kitchen/oven-built-in.svg
range-hood,Range Hood,02_kitchen,symbols/02_kitchen/range-hood.svg
range-standard,Range Standard,02_kitchen,symbols/02_kitchen/range-standard.svg
range-wide,Range Wide,02_kitchen,symbols/02_kitchen/range-wide.svg
sink-farmhouse,Sink Farmhouse,02_kitchen,symbols/02_kitchen/sink-farmhouse.svg
sink-stainless-double,Sink Stainless Double,02_kitchen,symbols/02_kitchen/sink-stainless-double.svg
sink-stainless-single,Sink Stainless Single,02_kitchen,symbols/02_kitchen/sink-stainless-single.svg
sink-with-drainer,Sink With Drainer,02_kitchen,symbols/02_kitchen/sink-with-drainer.svg
wine-fridge,Wine Fridge,02_kitchen,symbols/02_kitchen/wine-fridge.svg
air-handler,Air Handler,03_laundry_utility,symbols/03_laundry_utility/air-handler.svg
dryer-front-load,Dryer Front Load,03_laundry_utility,symbols/03_laundry_utility/dryer-front-load.svg
electrical-panel,Electrical Panel,03_laundry_utility,symbols/03_laundry_utility/electrical-panel.svg
freezer-chest,Freezer Chest,03_laundry_utility,symbols/03_laundry_utility/freezer-chest.svg
heat-pump-condenser,Heat Pump Condenser,03_laundry_utility,symbols/03_laundry_utility/heat-pump-condenser.svg
ironing-board,Ironing Board,03_laundry_utility,symbols/03_laundry_utility/ironing-board.svg
laundry-basket,Laundry Basket,03_laundry_utility,symbols/03_laundry_utility/laundry-basket.svg
laundry-sink,Laundry Sink,03_laundry_utility,symbols/03_laundry_utility/laundry-sink.svg
radiator,Radiator,03_laundry_utility,symbols/03_laundry_utility/radiator.svg
washer-front-load,Washer Front Load,03_laundry_utility,symbols/03_laundry_utility/washer-front-load.svg
washer-top-load,Washer Top Load,03_laundry_utility,symbols/03_laundry_utility/washer-top-load.svg
water-heater,Water Heater,03_laundry_utility,symbols/03_laundry_utility/water-heater.svg
armchair,Armchair,04_living,symbols/04_living/armchair.svg
coffee-table-nested,Coffee Table Nested,04_living,symbols/04_living/coffee-table-nested.svg
coffee-table-rectangular,Coffee Table Rectangular,04_living,symbols/04_living/coffee-table-rectangular.svg
coffee-table-round,Coffee Table Round,04_living,symbols/04_living/coffee-table-round.svg
fireplace,Fireplace,04_living,symbols/04_living/fireplace.svg
floor-lamp,Floor Lamp,04_living,symbols/04_living/floor-lamp.svg
media-console,Media Console,04_living,symbols/04_living/media-console.svg
ottoman-rectangular,Ottoman Rectangular,04_living,symbols/04_living/ottoman-rectangular.svg
ottoman-round,Ottoman Round,04_living,symbols/04_living/ottoman-round.svg
recliner,Recliner,04_living,symbols/04_living/recliner.svg
rug-rectangular,Rug Rectangular,04_living,symbols/04_living/rug-rectangular.svg
rug-round,Rug Round,04_living,symbols/04_living/rug-round.svg
sectional-left,Sectional Left,04_living,symbols/04_living/sectional-left.svg
sectional-right,Sectional Right,04_living,symbols/04_living/sectional-right.svg
side-table,Side Table,04_living,symbols/04_living/side-table.svg
sofa-four-seat,Sofa Four Seat,04_living,symbols/04_living/sofa-four-seat.svg
sofa-pillow,Sofa Pillow,04_living,symbols/04_living/sofa-pillow.svg
sofa-three-seat,Sofa Three Seat,04_living,symbols/04_living/sofa-three-seat.svg
sofa-two-seat,Sofa Two Seat,04_living,symbols/04_living/sofa-two-seat.svg
television,Television,04_living,symbols/04_living/television.svg
tub-chair,Tub Chair,04_living,symbols/04_living/tub-chair.svg
bed-bunk,Bed Bunk,05_bedroom,symbols/05_bedroom/bed-bunk.svg
bed-california-king,Bed California King,05_bedroom,symbols/05_bedroom/bed-california-king.svg
bed-daybed,Bed Daybed,05_bedroom,symbols/05_bedroom/bed-daybed.svg
bed-full,Bed Full,05_bedroom,symbols/05_bedroom/bed-full.svg
bed-king,Bed King,05_bedroom,symbols/05_bedroom/bed-king.svg
bed-queen,Bed Queen,05_bedroom,symbols/05_bedroom/bed-queen.svg
bed-twin-xl,Bed Twin Xl,05_bedroom,symbols/05_bedroom/bed-twin-xl.svg
bed-twin,Bed Twin,05_bedroom,symbols/05_bedroom/bed-twin.svg
bedroom-bench,Bedroom Bench,05_bedroom,symbols/05_bedroom/bedroom-bench.svg
crib,Crib,05_bedroom,symbols/05_bedroom/crib.svg
dresser-six-drawer,Dresser Six Drawer,05_bedroom,symbols/05_bedroom/dresser-six-drawer.svg
nightstand,Nightstand,05_bedroom,symbols/05_bedroom/nightstand.svg
bar-stool-round,Bar Stool Round,06_dining,symbols/06_dining/bar-stool-round.svg
bar-stool-square,Bar Stool Square,06_dining,symbols/06_dining/bar-stool-square.svg
dining-armchair,Dining Armchair,06_dining,symbols/06_dining/dining-armchair.svg
dining-chair-upholstered,Dining Chair Upholstered,06_dining,symbols/06_dining/dining-chair-upholstered.svg
dining-chair-wood,Dining Chair Wood,06_dining,symbols/06_dining/dining-chair-wood.svg
dining-set-four,Dining Set Four,06_dining,symbols/06_dining/dining-set-four.svg
dining-set-round,Dining Set Round,06_dining,symbols/06_dining/dining-set-round.svg
dining-set-six,Dining Set Six,06_dining,symbols/06_dining/dining-set-six.svg
dining-table-eight,Dining Table Eight,06_dining,symbols/06_dining/dining-table-eight.svg
dining-table-four,Dining Table Four,06_dining,symbols/06_dining/dining-table-four.svg
dining-table-oval,Dining Table Oval,06_dining,symbols/06_dining/dining-table-oval.svg
dining-table-round,Dining Table Round,06_dining,symbols/06_dining/dining-table-round.svg
dining-table-six,Dining Table Six,06_dining,symbols/06_dining/dining-table-six.svg
desk-corner,Desk Corner,07_office,symbols/07_office/desk-corner.svg
desk-drafting,Desk Drafting,07_office,symbols/07_office/desk-drafting.svg
desk-dual-monitor,Desk Dual Monitor,07_office,symbols/07_office/desk-dual-monitor.svg
desk-laptop,Desk Laptop,07_office,symbols/07_office/desk-laptop.svg
desk-plain,Desk Plain,07_office,symbols/07_office/desk-plain.svg
desk-reception,Desk Reception,07_office,symbols/07_office/desk-reception.svg
desk-workstation,Desk Workstation,07_office,symbols/07_office/desk-workstation.svg
keyboard,Keyboard,07_office,symbols/07_office/keyboard.svg
laptop,Laptop,07_office,symbols/07_office/laptop.svg
meeting-table,Meeting Table,07_office,symbols/07_office/meeting-table.svg
monitor,Monitor,07_office,symbols/07_office/monitor.svg
office-chair-armless,Office Chair Armless,07_office,symbols/07_office/office-chair-armless.svg
office-chair,Office Chair,07_office,symbols/07_office/office-chair.svg
office-pedestal,Office Pedestal,07_office,symbols/07_office/office-pedestal.svg
printer,Printer,07_office,symbols/07_office/printer.svg
server-rack,Server Rack,07_office,symbols/07_office/server-rack.svg
wastebasket,Wastebasket,07_office,symbols/07_office/wastebasket.svg
bookcase-small,Bookcase Small,08_storage,symbols/08_storage/bookcase-small.svg
bookcase-wide,Bookcase Wide,08_storage,symbols/08_storage/bookcase-wide.svg
coat-rack,Coat Rack,08_storage,symbols/08_storage/coat-rack.svg
filing-cabinet,Filing Cabinet,08_storage,symbols/08_storage/filing-cabinet.svg
locker-bank,Locker Bank,08_storage,symbols/08_storage/locker-bank.svg
